#,Reference,Qty,Value,Footprint,DNP
1,"C1, C2",2,10uF/50V,Capacitor_THT:CP_Radial_D4.0mm_P2.00mm,
2,"C3, C4, C5, C6",4,100nF,Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm,
3,"C7, C8, C9, C10",4,C,Capacitor_THT:C_Rect_L10.3mm_W5.0mm_P7.50mm_MKS4,
4,"D1, D2, D4",3,~,LED_THT:LED_D5.0mm,
5,D3,1,1N5817,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,
6,D5,1,~,@EmersonPrez15:LED_B5.0mm,
7,D6,1,~,@EmersonPrez15:LED_G5.0mm,
8,D7,1,~,@EmersonPrez15:LED_O5.0mm,
9,D8,1,~,@EmersonPrez15:LED_Y5.0mm,
10,D9,1,1N4007,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,
11,J1,1,JACK_DC,Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal,
12,J2,1,Fichero,Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,
13,"J3, J7, J8, J10, J12, J14",6,LOAD,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",
14,"J4, J5, J6",3,~,Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,
15,Q1,1,TIP122,Package_TO_SOT_THT:TO-220-3_Vertical,
16,"Q2, Q3, Q4, Q5",4,BT136-800,Package_TO_SOT_THT:TO-220-3_Vertical,
17,"R1, R2, R3, R4, R5, R6, R9, R12, R17",9,470,Resistencias_0.25W:470,
18,"R7, R32",2,2K,Resistencias_0.25W:2K,
19,"R8, R11, R14, R15, R16, R30, R31",7,10K,Resistencias_0.25W:10K,
20,"R10, R20, R21, R24, R25",5,330,Resistencias_0.25W:330,
21,R13,1,1K,Resistencias_0.25W:1K,
22,"R18, R22, R26, R27",4,330 1/2W,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
23,"R19, R23, R28, R29",4,10 1/2W,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
24,SW1,1,DIP_X06,Button_Switch_THT:SW_DIP_SPSTx06_Slide_9.78x17.42mm_W7.62mm_P2.54mm,
25,U1,1,MP1584,@EmersonPrez15:MP1584_Module,
26,U2,1,AMS1117-3.3,Package_TO_SOT_SMD:SOT-223-3_TabPin2,
27,U3,1,~,@EmersonPrez15:LCD ST7920,
28,"U4, U5",2,PC817,Package_DIP:DIP-4_W7.62mm,
29,"U6, U7, U8, U9",4,MOC3021M,@EmersonPrez15:MOC3020,
30,U10,1,ESP32_DevKit_V1_DOIT,@EmersonPrez15:ESP32_DEVKIT_V1_E32,
