"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","10uF/50V","","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","2",""
"C3,C4,C5","100nF","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","3",""
"C6,C7,C8,C9","10nF/400V","","Capacitor_THT:C_Rect_L13.0mm_W6.0mm_P10.00mm_FKS3_FKP3_MKS4","4",""
"C10,C11","22pF","","PCM_Capacitor_THT_AKL:C_Disc_D4.3mm_W1.9mm_P5.00mm","2",""
"D1","1N4007","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"D2,D3,D5,D6,D7,D8,J2,J3,J4,U10","","","@EmersonPrez15:LCD ST7920,Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,LED_THT:LED_D5.0mm,PCM_LED_THT_AKL:LED_D5.0mm","10",""
"D4","1N5817","http://www.vishay.com/docs/88525/1n5817.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"D9","LED","","@EmersonPrez15:LED_G5.0mm","1",""
"J1","JACK_DC","","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal","1",""
"J5,J6,J7,J8,J9,J10","LOAD","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","6",""
"J11","FICHERO","","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","1",""
"Q1","TIP122","https://www.onsemi.com/pub/Collateral/TIP120-D.PDF","@EmersonPrez15:TO-220-3_VDC","1",""
"Q2,Q3,Q4,Q5","BT136-800","http://www.micropik.com/PDF/BT136-600.pdf","@EmersonPrez15:TO-220-3_VDC","4",""
"Q6","2N3906","https://www.tme.eu/Document/1d69ece8147fa5a64114d103f531c790/2N3906BU.pdf","PCM_Package_TO_SOT_THT_AKL:TO-92_Inline_Wide_EBC","1",""
"R1,R10","1K","","Resistencias_0.25W:1K,Resistencias_0.25W:470","2",""
"R2,R3,R11,R14","10K","","Resistencias_0.25W:10K","4",""
"R4,R5,R6,R7,R8,R12","470","","Resistencias_0.25W:470","6",""
"R9,R13,R17,R20,R21","330","","Resistencias_0.25W:330","5",""
"R15,R18,R22,R23","330 1/2W","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4",""
"R16,R19,R24,R25","10 1/2W","","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","4",""
"R26","2.2k","","Resistencias_0.25W:2.2K","1",""
"R27,R34","10k","","Resistencias_0.25W:10K","2",""
"R28,R29,R31,R33","1k","","Resistencias_0.25W:1K","4",""
"R30,R32","680ohm","","Resistencias_0.25W:680","2",""
"SW1","SW_DIP_x05","","Button_Switch_THT:SW_DIP_SPSTx05_Slide_9.78x14.88mm_W7.62mm_P2.54mm","1",""
"SW2","Push_Button","","Button_Switch_THT:SW_PUSH_6mm","1",""
"U1","MP1584","","@EmersonPrez15:MP1584_Module","1",""
"U2","AMS1117-3.3","http://www.advanced-monolithic.com/pdf/ds1117.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U3,U11,U12,U13","PC817","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf","Package_DIP:DIP-4_W7.62mm","4",""
"U4,U5,U6,U7","MOC3021M","https://www.onsemi.com/pub/Collateral/MOC3023M-D.PDF","@EmersonPrez15:MOC3020","4",""
"U8","Atmega328P-PU","","Package_DIP:CERDIP-28_W7.62mm_SideBrazed_LongPads","1",""
"U9","ESP-01S","","@EmersonPrez15:ESP-01S","1",""
"Y1","Crystal_16MHz","","Crystal:Crystal_HC49-4H_Vertical","1",""
